Name,Instructors,URL,Imgs,Reviews,Alumns,Description
Building Your Freelancing Career,California Institute of the Arts,https://www.coursera.org/specializations/freelancing,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/2b/532c672596457fa8d6bbb4d1af0016/coursera-logo-Specialization.png?auto=format%2Ccompress%2C%20enhance&dpr=1&w=600&h=216&fit=fill&q=50,33.0,2509,"Do you want to go from surviving gig-to-gig to maintaining a steady flow of income through your own freelancing business? How about gaining the confidence to leave your steady but stifling job and launch into a more rewarding career that will let you pursue your passions? If so, you’re in the right place! 

In this specialization, you will learn how to overcome imposter syndrome and finally get paid for your talents by equipping yourself with the basic skills to operate your career like a business and avoid running out of money through smart financial planning and a solid business plan. CalArtians who do not see a ""Sponsored by CalArts"" notice when enrolling can access this specialization by joining through the Coursera for CalArts program linked in the FAQ for this specialization. "
Art for Games,Michigan State University,https://www.coursera.org/specializations/art-for-games,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/7c/78bc9d2ba84645a7fe5c2ad35194df/COURSERA-SQUARE.jpg?auto=format%2Ccompress%2C%20enhance&dpr=1&w=600&h=216&fit=fill&q=50,280.0,10742,"In this beginner focused specialization we will show you the essentials of 2d and 3d game art production as well as concept art for games and current gen game art workflow. While each of the four courses will build your knowledge of the practice of game art, each module is a self contained unit designed to teach a specific area. By the end of the Specialization, you will have a thorough knowledge of the creation of high-quality game art assets. Through these courses, you will be using Maya, Unity, Photoshop, Sketchup, ZBrush, Marmoset Toolbag, and Substance Painter."
Advanced System Security Design,University of Colorado System,https://www.coursera.org/specializations/advanced-system-security-design,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/d7/c2ae81854b4aea9cccad9137d7f6a0/uclionImage.png?auto=format%2Ccompress%2C%20enhance&dpr=1&w=600&h=216&fit=fill&q=50,304.0,7510,"This specialization is intended for intermediate level learners with basic programming skills and basic cybersecurity knowledge. Through this course learner will learn about advanced secure software techniques such as those for  cloud computing, TOR,  web-based cryptography, and geo-location/context based access control. With these techniques, learners will be better prepared to implement new security and privacy preserving data security features, to perform secure system design and implementation, vulnerability analysis, and Securely Provision (SP), Operate and Maintain (OM), Oversee and Govern (OV), Protect and Defend (PR), Analyze (AN), Collect and Operate (CO), and investigate (IN) tasks."
Learn English: Writing Effectively with Complex Sentences,"University of California, Irvine",https://www.coursera.org/specializations/learn-english-writing-grammar-complex-sentences,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/72/9d36dbb73a496eabb53cf269fc388a/Spec_pexels-photo-6001386.jpeg?auto=format%2Ccompress%2C%20enhance&dpr=1&w=600&h=216&fit=fill&q=50,33.0,3347,"This specialization is for English learners who want to write with greater sentence complexity. Through three courses, you’ll learn how to identify adverb, adjective, and noun clauses and how to avoid making common mistakes associated with each type. You will also learn how to use the three types of complex sentences to express your ideas in more sophisticated ways. "
Global Challenges in Business,University of Illinois at Urbana-Champaign,https://www.coursera.org/specializations/global-challenges-business,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/0a/23c927aab549b6a5325c746119cc75/Gies-Square-Logo-from-MarCom.jpg?auto=format%2Ccompress%2C%20enhance&dpr=1&w=600&h=216&fit=fill&q=50,894.0,11899,"Learning Outcomes for the Specialization:Upon completion of this specialization, you will be able to:Understand how businesses function in the global marketplace.Make ethical decisions to run a responsible business in the global marketplace.Understand the role of business in addressing global challenges such as poverty and the environment.Understand how business can pursue opportunities and confront challenges in the complex global marketplace."
Advanced Python Scripting for Cybersecurity,Infosec,https://www.coursera.org/specializations/advanced-python-scripting-for-cybersecurity,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/89/ffd414df434a36b92965e6b671cea8/Coursera_Advanced_Python_Scripting_600x600.png?auto=format%2Ccompress%2C%20enhance&dpr=1&w=600&h=216&fit=fill&q=50,25.0,0,"Python is one of the most popular and widely-used programming languages in the world, due to its high usability and large collection of libraries. This learning path provides an application-driven introduction to using advanced Python features for offensive and defense cybersecurity. This path demonstrates how some of the advanced functionality in Python packages can be applied to cybersecurity and how to automate multi-stage attack chains and defensive operations using Python.
This Advanced Python Scripting for Cybersecurity Skills Path builds on the Python for Cybersecurity skills path to demonstrate advanced applications of Python for cybersecurity."
Participatory Approaches in Public Health,Imperial College London,https://www.coursera.org/specializations/participatory-approaches-public-health,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/9b/cdcb0aa1ee4a928a9480534aed2bc0/PAPH---Spec.jpg?auto=format%2Ccompress&dpr=2&blur=200&px=8&w=600&h=216,17.0,0,"This specialisation guides learners through the process of designing an appropriate participatory approach to a given public health challenge, focusing on the history, theory and practice of participatory approaches to public health. You'll gain an understanding of the impact of social and cultural contexts in which public health programmes exist, as well as, why participatory approaches could better assist in meeting the population’s needs and solving certain health-related challenges.   "
Python Scripting for DevOps,LearnQuest,https://www.coursera.org/specializations/python-scripting-devops,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/58/7a4c616c0f4e6d96cf9f9dbb370ff4/Python_icon.png?auto=format%2Ccompress&dpr=2&blur=200&px=8&w=600&h=216,138.0,3775,"In the first course, you will learn some of the concepts of procedural programming: user input, console output, variable declaration and assignment, decision branching and iteration.  The second course will introduce you to Advanced String Operations and Dates, Modeling Classes, Development of Classes and Collections. In the third course you'll learn about Files, Inheritance and external libraries.  And in the final course we will look at several automation concepts in DevOps with Python. "
"Data Engineering, Big Data and ML on Google Cloud 日本語版",Google Cloud,https://www.coursera.org/specializations/gcp-data-machine-learning-jp,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/02/c32ec0a72311e8ab3619beed5d53aa/Data-Engineering_General-settings-image.jpg?auto=format%2Ccompress&dpr=2&blur=200&px=8&w=600&h=216,276.0,0,この 5 週間のオンライン速習専門講座は、Google Cloud Platform でデータ処理システムを設計、構築する方法を学ぶための実践的な入門コースです。講義、デモ、ハンズオンラボを通して、データ処理システムの設計、エンドツーエンドのデータ パイプラインの構築、データの分析、機械学習の実施方法を学びます。このコースでは、構造化、非構造化、ストリーミングの各種データを扱います。このコースでは、次のスキルについて学習します。• Google Cloud Platform 上でデータ処理システムを設計し構築する• 非構造化データを Cloud Dataproc 上で Spark と ML の API を使って活用する• バッチおよびストリーミングのデータを処理するために自動スケーリング データ パイプラインを Cloud Dataflow 上で実装する• 巨大なデータセットからのビジネス分析情報を Google BigQuery を使用して引き出す• 機械学習モデルを使用したトレーニング、評価、予測を TensorFlow と Cloud ML を使用して行う• ストリーミング データからの迅速な分析を実現するこのクラスは、デベロッパーとしての経験があり、次のようなビッグデータ変換の管理を担当する方を対象としています。• データの抽出、読み込み、変換、クリーニング、検証を行う• データ処理用のパイプラインとアーキテクチャを設計する• 機械学習モデルと統計モデルを作成して保守する• データセットに対してクエリを実行し、クエリ結果を視覚化して、レポートを作成する>>>この専門分野に登録することにより、これはQwiklabsの利用規約に同意し、FAQに記載されています。https://qwiklabs.com/terms_of_service <<<
Integral Calculus through Data and Modeling,Johns Hopkins University,https://www.coursera.org/specializations/integral-calculus-data-modeling,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/3d/2cc35806bc46c18a48fa8d26c097f8/shell-1847458_960_720.jpg?auto=format%2Ccompress&dpr=2&blur=200&px=8&w=600&h=216,52.0,1701,"This specialization builds on topics introduced in single and multivariable differentiable calculus to develop the theory and applications of integral calculus.  , The focus on the specialization is to using calculus to address questions in the natural and social sciences. Students will learn to use the techniques presented in this class to process, analyze, and interpret data, and to communicate meaningful results, using scientific computing and mathematical modeling. Topics include functions as models of data, differential and integral calculus of functions of one and several variables, differential equations, and optimization and estimation techniques.  "
